iter	Passed	Remaining
0	172	172645
1	173	86576
2	174	58088
3	176	43935
4	177	35316
5	178	29580
6	180	25561
7	181	22527
8	183	20152
9	184	18255
10	185	16699
11	187	15399
12	188	14288
13	189	13335
14	190	12526
15	191	11790
16	192	11135
17	193	10542
18	193	10005
19	194	9543
20	195	9135
21	197	8764
22	198	8423
23	199	8109
24	200	7826
25	201	7535
26	202	7279
27	203	7047
28	204	6841
29	205	6636
30	206	6439
31	206	6249
32	207	6074
33	207	5905
34	208	5751
35	209	5611
36	210	5479
37	211	5356
38	212	5241
39	213	5131
40	214	5014
41	214	4903
42	215	4801
43	216	4706
44	217	4618
45	218	4533
46	219	4450
47	220	4368
48	220	4288
49	221	4210
50	222	4132
51	222	4060
52	223	3993
53	224	3930
54	225	3871
55	226	3821
56	227	3757
57	227	3696
58	228	3639
59	228	3585
60	229	3535
61	230	3488
62	231	3443
63	232	3402
64	233	3357
65	234	3314
66	234	3272
67	235	3230
68	236	3187
69	236	3144
70	237	3104
71	238	3068
72	239	3035
73	240	3003
74	240	2967
75	241	2932
76	241	2897
77	242	2862
78	242	2828
79	243	2796
80	243	2767
81	244	2740
82	245	2709
83	246	2683
84	246	2657
85	247	2629
86	248	2603
87	249	2582
88	250	2562
89	251	2542
90	252	2521
91	253	2502
92	254	2482
93	255	2465
94	256	2443
95	257	2422
96	257	2401
97	258	2380
98	259	2358
99	259	2339
100	260	2318
101	260	2297
102	261	2276
103	262	2257
104	262	2240
105	263	2225
106	264	2211
107	265	2195
108	266	2180
109	267	2166
110	268	2152
111	269	2138
112	271	2128
113	271	2112
114	272	2096
115	273	2081
116	273	2065
117	274	2049
118	274	2033
119	275	2017
120	275	2003
121	276	1988
122	277	1975
123	277	1962
124	278	1949
125	279	1936
126	279	1922
127	280	1910
128	281	1898
129	281	1885
130	282	1873
131	283	1862
132	283	1850
133	284	1839
134	285	1828
135	286	1819
136	287	1809
137	287	1798
138	288	1787
139	289	1776
140	289	1764
141	289	1751
142	290	1740
143	290	1729
144	291	1718
145	292	1708
146	292	1698
147	293	1688
148	293	1678
149	294	1668
150	295	1658
151	295	1649
152	296	1639
153	296	1629
154	297	1620
155	297	1611
156	298	1602
157	298	1593
158	299	1584
159	300	1575
160	300	1566
161	301	1559
162	302	1551
163	302	1543
164	303	1535
165	303	1527
166	304	1518
167	304	1510
168	305	1501
169	305	1493
170	306	1486
171	307	1478
172	307	1471
173	308	1464
174	309	1457
175	309	1449
176	310	1442
177	310	1435
178	311	1428
179	312	1421
180	312	1414
181	313	1406
182	313	1399
183	314	1392
184	314	1385
185	314	1378
186	315	1373
187	316	1367
188	317	1361
189	318	1356
190	318	1349
191	319	1342
192	319	1336
193	320	1329
194	320	1323
195	321	1317
196	321	1311
197	322	1304
198	322	1298
199	323	1292
200	323	1287
201	324	1281
202	324	1275
203	325	1270
204	326	1265
205	326	1259
206	327	1253
207	328	1248
208	328	1243
209	329	1238
210	329	1233
211	331	1231
212	332	1228
213	333	1223
214	333	1218
215	334	1213
216	334	1208
217	335	1202
218	335	1197
219	336	1192
220	336	1187
221	337	1182
222	337	1177
223	338	1172
224	339	1167
225	339	1163
226	340	1159
227	340	1154
228	341	1149
229	341	1144
230	342	1139
231	342	1134
232	343	1130
233	343	1125
234	344	1121
235	345	1117
236	345	1113
237	346	1110
238	347	1106
239	348	1103
240	348	1098
241	349	1094
242	349	1090
243	350	1085
244	350	1081
245	351	1077
246	352	1073
247	352	1069
248	353	1065
249	353	1061
250	355	1061
251	357	1060
252	358	1057
253	358	1053
254	359	1049
255	359	1045
256	361	1044
257	362	1042
258	363	1040
259	364	1037
260	365	1033
261	365	1029
262	366	1026
263	366	1022
264	367	1018
265	367	1014
266	368	1011
267	368	1007
268	369	1003
269	369	999
270	370	996
271	370	992
272	371	988
273	371	985
274	372	981
275	372	978
276	373	974
277	373	971
278	374	967
279	375	964
280	376	962
281	376	959
282	377	955
283	378	953
284	378	949
285	379	946
286	379	943
287	380	939
288	380	936
289	381	933
290	381	930
291	382	926
292	382	923
293	383	920
294	383	917
295	384	913
296	384	910
297	385	907
298	385	904
299	386	901
300	387	898
301	387	895
302	388	892
303	388	889
304	389	886
305	389	884
306	390	881
307	391	879
308	392	876
309	392	874
310	393	871
311	394	868
312	394	865
313	394	862
314	395	860
315	396	857
316	396	854
317	397	851
318	397	848
319	398	846
320	398	843
321	399	840
322	399	837
323	400	835
324	400	832
325	401	830
326	402	827
327	402	824
328	403	822
329	403	819
330	404	817
331	405	815
332	405	812
333	406	810
334	406	807
335	407	806
336	408	803
337	408	800
338	409	798
339	409	795
340	410	792
341	410	790
342	411	787
343	411	785
344	412	782
345	412	780
346	413	777
347	413	775
348	414	773
349	415	770
350	415	768
351	416	766
352	416	763
353	417	761
354	417	759
355	418	756
356	418	754
357	419	753
358	420	751
359	421	749
360	422	747
361	422	745
362	423	742
363	423	740
364	424	738
365	424	735
366	425	733
367	425	731
368	426	729
369	426	726
370	427	724
371	428	722
372	428	720
373	429	718
374	429	716
375	430	714
376	431	712
377	431	710
378	432	708
379	432	705
380	433	703
381	433	701
382	434	700
383	435	698
384	436	696
385	436	695
386	437	693
387	438	690
388	438	688
389	438	686
390	439	684
391	439	682
392	440	680
393	440	678
394	441	676
395	442	674
396	442	672
397	443	670
398	443	668
399	444	666
400	444	664
401	445	662
402	445	660
403	446	658
404	446	656
405	447	654
406	448	652
407	448	651
408	450	651
409	451	649
410	452	648
411	453	646
412	454	645
413	454	643
414	455	642
415	456	640
416	456	638
417	457	637
418	458	635
419	458	633
420	459	631
421	459	629
422	460	628
423	460	626
424	461	624
425	462	622
426	462	620
427	463	619
428	463	617
429	464	615
430	465	614
431	466	612
432	466	611
433	467	609
434	467	607
435	468	605
436	468	604
437	469	602
438	469	600
439	470	598
440	470	596
441	471	595
442	472	593
443	472	591
444	473	590
445	473	588
446	474	586
447	474	585
448	475	583
449	476	582
450	476	580
451	477	578
452	477	577
453	478	575
454	480	575
455	480	573
456	481	572
457	482	570
458	483	569
459	483	567
460	484	565
461	484	564
462	485	562
463	485	560
464	486	559
465	486	557
466	487	555
467	487	554
468	488	552
469	488	551
470	489	549
471	490	548
472	490	546
473	491	544
474	491	543
475	492	541
476	492	540
477	493	538
478	493	537
479	494	535
480	495	534
481	496	533
482	496	531
483	497	530
484	498	528
485	498	527
486	498	525
487	499	524
488	500	522
489	500	520
490	501	519
491	501	517
492	502	516
493	502	514
494	503	513
495	503	511
496	504	510
497	504	508
498	505	507
499	505	505
500	506	504
501	506	502
502	507	501
503	508	499
504	508	498
505	508	496
506	509	495
507	510	494
508	511	493
509	511	491
510	512	490
511	513	489
512	513	487
513	514	486
514	514	484
515	515	483
516	515	481
517	516	480
518	516	478
519	517	477
520	517	475
521	517	474
522	518	472
523	519	471
524	520	470
525	520	469
526	521	468
527	522	466
528	522	465
529	523	463
530	523	462
531	524	461
532	524	459
533	524	458
534	525	456
535	525	455
536	526	453
537	526	452
538	527	451
539	528	449
540	528	448
541	529	447
542	529	445
543	530	444
544	530	443
545	531	441
546	531	440
547	532	439
548	533	437
549	533	436
550	534	435
551	535	434
552	535	433
553	536	431
554	537	430
555	537	429
556	538	428
557	538	426
558	539	425
559	539	424
560	540	422
561	540	421
562	541	420
563	541	418
564	542	417
565	543	416
566	543	415
567	544	413
568	544	412
569	545	411
570	545	410
571	546	408
572	546	407
573	547	406
574	548	405
575	548	403
576	549	402
577	550	401
578	551	400
579	551	399
580	552	398
581	553	397
