iter	Passed	Remaining
0	1	162
1	2	142
2	4	130
3	4	118
4	6	118
5	7	115
6	8	117
7	9	113
8	11	115
9	12	114
10	13	111
11	14	109
12	15	106
13	17	104
14	18	102
15	19	101
16	20	99
17	21	98
18	22	96
19	23	94
20	24	93
21	25	91
22	26	88
23	27	86
24	28	84
25	28	82
26	29	79
27	30	77
28	30	75
29	31	73
30	31	71
31	32	69
32	33	67
33	33	65
34	34	63
35	34	61
36	35	59
37	35	58
38	36	56
39	36	54
40	37	53
41	37	51
42	37	50
43	38	48
44	38	47
45	39	46
46	39	44
47	40	43
48	40	42
49	41	41
50	41	40
51	42	38
52	42	37
53	43	36
54	43	35
55	43	34
56	44	33
57	44	32
58	45	31
59	45	30
60	46	29
61	46	28
62	47	27
63	47	26
64	48	25
65	48	25
66	49	24
67	49	23
68	50	22
69	50	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	53	16
76	53	16
77	54	15
78	54	14
79	55	13
80	55	13
81	56	12
82	56	11
83	57	10
84	57	10
85	58	9
86	58	8
87	59	8
88	59	7
89	60	6
90	60	5
91	61	5
92	61	4
93	62	3
94	62	3
95	62	2
96	63	1
97	63	1
98	64	0
99	64	0
